"date","brl"
"2010/01/01",1.741616
"2010/01/02",1.741616
"2010/01/03",1.741616
"2010/01/04",1.726002
"2010/01/05",1.724062
"2010/01/06",1.731785
"2010/01/07",1.743431
"2010/01/08",1.740881
"2010/01/09",1.741648
"2010/01/10",1.741648
"2010/01/11",1.728652
"2010/01/12",1.745102
"2010/01/13",1.744268
"2010/01/14",1.766861
"2010/01/15",1.768728
"2010/01/16",1.768362
"2010/01/17",1.768362
"2010/01/18",1.773002
"2010/01/19",1.777493
"2010/01/20",1.78983
"2010/01/21",1.79407
"2010/01/22",1.819603
"2010/01/23",1.81977
"2010/01/24",1.81977
"2010/01/25",1.818694
"2010/01/26",1.840355
"2010/01/27",1.849767
"2010/01/28",1.85359
"2010/01/29",1.868547
"2010/01/30",1.868047
"2010/01/31",1.868047
"2010/02/01",1.871191
"2010/02/02",1.838264
"2010/02/03",1.839444
"2010/02/04",1.873846
"2010/02/05",1.882774
"2010/02/06",1.882441
"2010/02/07",1.882441
"2010/02/08",1.871493
"2010/02/09",1.851046
"2010/02/10",1.853126
"2010/02/11",1.851177
"2010/02/12",1.862527
"2010/02/13",1.862227
"2010/02/14",1.862227
"2010/02/15",1.858996
"2010/02/16",1.847198
"2010/02/17",1.833556
"2010/02/18",1.828885
"2010/02/19",1.809374
"2010/02/20",1.806641
"2010/02/21",1.806641
"2010/02/22",1.804544
"2010/02/23",1.820749
"2010/02/24",1.820736
"2010/02/25",1.834679
"2010/02/26",1.810963
"2010/02/27",1.810296
"2010/02/28",1.810296
"2010/03/01",1.803375
"2010/03/02",1.786227
"2010/03/03",1.782956
"2010/03/04",1.788759
"2010/03/05",1.78072
"2010/03/06",1.781187
"2010/03/07",1.781187
"2010/03/08",1.782163
"2010/03/09",1.792959
"2010/03/10",1.771945
"2010/03/11",1.768926
"2010/03/12",1.762917
"2010/03/13",1.763384
"2010/03/14",1.763384
"2010/03/15",1.764827
"2010/03/16",1.763039
"2010/03/17",1.763083
"2010/03/18",1.783036
"2010/03/19",1.795885
"2010/03/20",1.795085
"2010/03/21",1.795085
"2010/03/22",1.805672
"2010/03/23",1.784352
"2010/03/24",1.79012
"2010/03/25",1.798426
"2010/03/26",1.821423
"2010/03/27",1.821957
"2010/03/28",1.821957
"2010/03/29",1.809853
"2010/03/30",1.793468
"2010/03/31",1.783269
"2010/04/01",1.772523
"2010/04/02",1.768578
"2010/04/03",1.773156
"2010/04/04",1.773156
"2010/04/05",1.765753
"2010/04/06",1.763024
"2010/04/07",1.760369
"2010/04/08",1.782334
