"date","location","new_cases","total_cases"
2020-01-05,"France",0,NA
2020-01-06,"France",0,NA
2020-01-07,"France",0,NA
2020-01-08,"France",0,NA
2020-01-09,"France",0,NA
2020-01-10,"France",0,NA
2020-01-11,"France",0,NA
2020-01-12,"France",0,NA
2020-01-13,"France",0,NA
2020-01-14,"France",0,NA
2020-01-15,"France",0,NA
2020-01-16,"France",0,NA
2020-01-17,"France",0,NA
2020-01-18,"France",0,NA
2020-01-19,"France",0,NA
2020-01-20,"France",0,NA
2020-01-21,"France",0,NA
2020-01-22,"France",0,NA
2020-01-23,"France",0,NA
2020-01-24,"France",0,NA
2020-01-25,"France",0,NA
2020-01-26,"France",3,3
2020-01-27,"France",0,3
2020-01-28,"France",0,3
2020-01-29,"France",0,3
2020-01-30,"France",0,3
2020-01-31,"France",0,3
2020-02-01,"France",0,3
2020-02-02,"France",3,6
2020-02-03,"France",0,6
2020-02-04,"France",0,6
2020-02-05,"France",0,6
2020-02-06,"France",0,6
2020-02-07,"France",0,6
2020-02-08,"France",0,6
2020-02-09,"France",6,12
2020-02-10,"France",0,12
2020-02-11,"France",0,12
2020-02-12,"France",0,12
2020-02-13,"France",0,12
2020-02-14,"France",0,12
2020-02-15,"France",0,12
2020-02-16,"France",0,12
2020-02-17,"France",0,12
2020-02-18,"France",0,12
2020-02-19,"France",0,12
2020-02-20,"France",0,12
2020-02-21,"France",0,12
2020-02-22,"France",0,12
2020-02-23,"France",4,16
2020-02-24,"France",0,16
2020-02-25,"France",0,16
2020-02-26,"France",0,16
2020-02-27,"France",0,16
2020-02-28,"France",0,16
2020-02-29,"France",0,16
2020-03-01,"France",0,16
2020-03-02,"France",0,16
2020-03-03,"France",0,16
2020-03-04,"France",0,16
2020-03-05,"France",0,16
2020-03-06,"France",0,16
2020-03-07,"France",0,16
2020-03-08,"France",0,16
2020-03-09,"France",0,16
2020-03-10,"France",0,16
2020-03-11,"France",0,16
2020-03-12,"France",0,16
2020-03-13,"France",0,16
2020-03-14,"France",0,16
2020-03-15,"France",0,16
2020-03-16,"France",0,16
2020-03-17,"France",0,16
2020-03-18,"France",0,16
2020-03-19,"France",0,16
2020-03-20,"France",0,16
2020-03-21,"France",0,16
2020-03-22,"France",0,16
2020-03-23,"France",0,16
2020-03-24,"France",0,16
2020-03-25,"France",0,16
2020-03-26,"France",0,16
2020-03-27,"France",0,16
2020-03-28,"France",0,16
2020-03-29,"France",0,16
2020-03-30,"France",0,16
2020-03-31,"France",0,16
2020-04-01,"France",0,16
2020-04-02,"France",0,16
2020-04-03,"France",0,16
2020-04-04,"France",0,16
2020-04-05,"France",0,16
2020-04-06,"France",0,16
2020-04-07,"France",0,16
2020-04-08,"France",0,16
2020-04-09,"France",0,16
2020-04-10,"France",0,16
2020-04-11,"France",0,16
2020-04-12,"France",0,16
2020-04-13,"France",0,16
2020-04-14,"France",0,16
2020-04-15,"France",0,16
2020-04-16,"France",0,16
2020-04-17,"France",0,16
2020-04-18,"France",0,16
2020-04-19,"France",0,16
