"date","location","new_cases"
2020-01-05,"United Kingdom",0
2020-01-06,"United Kingdom",0
2020-01-07,"United Kingdom",0
2020-01-08,"United Kingdom",0
2020-01-09,"United Kingdom",0
2020-01-10,"United Kingdom",0
2020-01-11,"United Kingdom",0
2020-01-12,"United Kingdom",0
2020-01-13,"United Kingdom",0
2020-01-14,"United Kingdom",0
2020-01-15,"United Kingdom",0
2020-01-16,"United Kingdom",0
2020-01-17,"United Kingdom",0
2020-01-18,"United Kingdom",0
2020-01-19,"United Kingdom",0
2020-01-20,"United Kingdom",0
2020-01-21,"United Kingdom",0
2020-01-22,"United Kingdom",0
2020-01-23,"United Kingdom",0
2020-01-24,"United Kingdom",0
2020-01-25,"United Kingdom",0
2020-01-26,"United Kingdom",0
2020-01-27,"United Kingdom",0
2020-01-28,"United Kingdom",0
2020-01-29,"United Kingdom",0
2020-01-30,"United Kingdom",0
2020-01-31,"United Kingdom",0
2020-02-01,"United Kingdom",0
2020-02-02,"United Kingdom",1
2020-02-03,"United Kingdom",0
2020-02-04,"United Kingdom",0
2020-02-05,"United Kingdom",0
2020-02-06,"United Kingdom",0
2020-02-07,"United Kingdom",0
2020-02-08,"United Kingdom",0
2020-02-09,"United Kingdom",20
2020-02-10,"United Kingdom",0
2020-02-11,"United Kingdom",0
2020-02-12,"United Kingdom",0
2020-02-13,"United Kingdom",0
2020-02-14,"United Kingdom",0
2020-02-15,"United Kingdom",0
2020-02-16,"United Kingdom",11
2020-02-17,"United Kingdom",0
2020-02-18,"United Kingdom",0
2020-02-19,"United Kingdom",0
2020-02-20,"United Kingdom",0
2020-02-21,"United Kingdom",0
2020-02-22,"United Kingdom",0
2020-02-23,"United Kingdom",3
2020-02-24,"United Kingdom",0
2020-02-25,"United Kingdom",0
2020-02-26,"United Kingdom",0
2020-02-27,"United Kingdom",0
2020-02-28,"United Kingdom",0
2020-02-29,"United Kingdom",0
2020-03-01,"United Kingdom",33
2020-03-02,"United Kingdom",0
2020-03-03,"United Kingdom",0
2020-03-04,"United Kingdom",0
2020-03-05,"United Kingdom",0
2020-03-06,"United Kingdom",0
2020-03-07,"United Kingdom",0
2020-03-08,"United Kingdom",311
2020-03-09,"United Kingdom",0
2020-03-10,"United Kingdom",0
2020-03-11,"United Kingdom",0
2020-03-12,"United Kingdom",0
2020-03-13,"United Kingdom",0
2020-03-14,"United Kingdom",0
2020-03-15,"United Kingdom",1901
2020-03-16,"United Kingdom",0
2020-03-17,"United Kingdom",0
2020-03-18,"United Kingdom",0
2020-03-19,"United Kingdom",0
2020-03-20,"United Kingdom",0
2020-03-21,"United Kingdom",0
2020-03-22,"United Kingdom",5455
2020-03-23,"United Kingdom",0
2020-03-24,"United Kingdom",0
2020-03-25,"United Kingdom",0
2020-03-26,"United Kingdom",0
2020-03-27,"United Kingdom",0
2020-03-28,"United Kingdom",0
2020-03-29,"United Kingdom",16046
2020-03-30,"United Kingdom",0
2020-03-31,"United Kingdom",0
2020-04-01,"United Kingdom",0
2020-04-02,"United Kingdom",0
2020-04-03,"United Kingdom",0
2020-04-04,"United Kingdom",0
2020-04-05,"United Kingdom",28818
2020-04-06,"United Kingdom",0
2020-04-07,"United Kingdom",0
2020-04-08,"United Kingdom",0
2020-04-09,"United Kingdom",0
2020-04-10,"United Kingdom",0
2020-04-11,"United Kingdom",0
2020-04-12,"United Kingdom",32630
2020-04-13,"United Kingdom",0
2020-04-14,"United Kingdom",0
2020-04-15,"United Kingdom",0
2020-04-16,"United Kingdom",0
2020-04-17,"United Kingdom",0
2020-04-18,"United Kingdom",0
2020-04-19,"United Kingdom",30969
2020-04-20,"United Kingdom",0
2020-04-21,"United Kingdom",0
2020-04-22,"United Kingdom",0
2020-04-23,"United Kingdom",0
2020-04-24,"United Kingdom",0
2020-04-25,"United Kingdom",0
2020-04-26,"United Kingdom",33506
2020-04-27,"United Kingdom",0
2020-04-28,"United Kingdom",0
2020-04-29,"United Kingdom",0
2020-04-30,"United Kingdom",0
2020-05-01,"United Kingdom",0
2020-05-02,"United Kingdom",0
2020-05-03,"United Kingdom",31851
2020-05-04,"United Kingdom",0
2020-05-05,"United Kingdom",0
2020-05-06,"United Kingdom",0
2020-05-07,"United Kingdom",0
2020-05-08,"United Kingdom",0
2020-05-09,"United Kingdom",0
2020-05-10,"United Kingdom",24027
2020-05-11,"United Kingdom",0
2020-05-12,"United Kingdom",0
2020-05-13,"United Kingdom",0
2020-05-14,"United Kingdom",0
2020-05-15,"United Kingdom",0
2020-05-16,"United Kingdom",0
2020-05-17,"United Kingdom",20019
2020-05-18,"United Kingdom",0
2020-05-19,"United Kingdom",0
2020-05-20,"United Kingdom",0
2020-05-21,"United Kingdom",0
2020-05-22,"United Kingdom",0
2020-05-23,"United Kingdom",0
2020-05-24,"United Kingdom",16906
2020-05-25,"United Kingdom",0
2020-05-26,"United Kingdom",0
2020-05-27,"United Kingdom",0
2020-05-28,"United Kingdom",0
2020-05-29,"United Kingdom",0
2020-05-30,"United Kingdom",0
2020-05-31,"United Kingdom",11713
2020-06-01,"United Kingdom",0
2020-06-02,"United Kingdom",0
2020-06-03,"United Kingdom",0
2020-06-04,"United Kingdom",0
2020-06-05,"United Kingdom",0
2020-06-06,"United Kingdom",0
2020-06-07,"United Kingdom",8884
2020-06-08,"United Kingdom",0
2020-06-09,"United Kingdom",0
2020-06-10,"United Kingdom",0
2020-06-11,"United Kingdom",0
2020-06-12,"United Kingdom",0
2020-06-13,"United Kingdom",0
2020-06-14,"United Kingdom",7052
2020-06-15,"United Kingdom",0
2020-06-16,"United Kingdom",0
2020-06-17,"United Kingdom",0
2020-06-18,"United Kingdom",0
2020-06-19,"United Kingdom",0
2020-06-20,"United Kingdom",0
2020-06-21,"United Kingdom",6892
2020-06-22,"United Kingdom",0
2020-06-23,"United Kingdom",0
2020-06-24,"United Kingdom",0
2020-06-25,"United Kingdom",0
2020-06-26,"United Kingdom",0
2020-06-27,"United Kingdom",0
2020-06-28,"United Kingdom",5270
2020-06-29,"United Kingdom",0
2020-06-30,"United Kingdom",0
2020-07-01,"United Kingdom",0
2020-07-02,"United Kingdom",0
2020-07-03,"United Kingdom",0
2020-07-04,"United Kingdom",0
2020-07-05,"United Kingdom",4275
2020-07-06,"United Kingdom",0
2020-07-07,"United Kingdom",0
2020-07-08,"United Kingdom",0
2020-07-09,"United Kingdom",0
2020-07-10,"United Kingdom",0
2020-07-11,"United Kingdom",0
2020-07-12,"United Kingdom",4283
