"Nível Territorial (Código)","Nível Territorial","Unidade de Medida (Código)","Unidade de Medida","Valor","Brasil (Código)","Brasil","Variável (Código)","Variável","Trimestre (Código)","Trimestre","Setores e subsetores (Código)","Setores e subsetores"
"1","Brasil","30","Número-índice",96.84,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","199601","1º trimestre 1996","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",100.12,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","199602","2º trimestre 1996","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",107.56,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","199603","3º trimestre 1996","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",104.31,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","199604","4º trimestre 1996","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",100.13,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","199701","1º trimestre 1997","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",104.88,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","199702","2º trimestre 1997","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",109.49,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","199703","3º trimestre 1997","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",108.21,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","199704","4º trimestre 1997","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",101.14,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","199801","1º trimestre 1998","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",106.46,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","199802","2º trimestre 1998","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",109.88,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","199803","3º trimestre 1998","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",106.66,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","199804","4º trimestre 1998","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",101.92,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","199901","1º trimestre 1999","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",106.04,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","199902","2º trimestre 1999","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",109.2,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","199903","3º trimestre 1999","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",108.97,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","199904","4º trimestre 1999","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",106.4,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","200001","1º trimestre 2000","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",110.25,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","200002","2º trimestre 2000","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",114.19,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","200003","3º trimestre 2000","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",113.98,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","200004","4º trimestre 2000","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",110.1,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","200101","1º trimestre 2001","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",112.82,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","200102","2º trimestre 2001","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",114.71,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","200103","3º trimestre 2001","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",113.38,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","200104","4º trimestre 2001","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",110.63,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","200201","1º trimestre 2002","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",115.41,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","200202","2º trimestre 2002","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",119.5,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","200203","3º trimestre 2002","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",119.24,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","200204","4º trimestre 2002","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",113.58,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","200301","1º trimestre 2003","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",116.31,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","200302","2º trimestre 2003","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",120.25,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","200303","3º trimestre 2003","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",119.94,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","200304","4º trimestre 2003","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",117.98,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","200401","1º trimestre 2004","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",123.65,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","200402","2º trimestre 2004","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",128.14,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","200403","3º trimestre 2004","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",127.39,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","200404","4º trimestre 2004","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",122.92,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","200501","1º trimestre 2005","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",129.18,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","200502","2º trimestre 2005","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",130.85,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","200503","3º trimestre 2005","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",130.13,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","200504","4º trimestre 2005","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",128.18,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","200601","1º trimestre 2006","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",132.13,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","200602","2º trimestre 2006","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",136.72,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","200603","3º trimestre 2006","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",136.37,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","200604","4º trimestre 2006","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",134.84,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","200701","1º trimestre 2007","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",140.77,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","200702","2º trimestre 2007","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",144.75,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","200703","3º trimestre 2007","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",145.43,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","200704","4º trimestre 2007","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",143.14,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","200801","1º trimestre 2008","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",149.69,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","200802","2º trimestre 2008","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",154.86,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","200803","3º trimestre 2008","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",146.92,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","200804","4º trimestre 2008","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",139.67,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","200901","1º trimestre 2009","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",146.39,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","200902","2º trimestre 2009","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",153.06,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","200903","3º trimestre 2009","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",154.75,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","200904","4º trimestre 2009","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",152.53,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","201001","1º trimestre 2010","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",158.86,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","201002","2º trimestre 2010","90707","PIB a preços de mercado"
"1","Brasil","30","Número-índice",163.63,"1","Brasil","583","Série encadeada do índice de volume trimestral (Base: média 1995 = 100)","201003","3º trimestre 2010","90707","PIB a preços de mercado"
