"date","value"
2000-02-29,47.08777
2000-03-31,49.10081
2000-04-30,49.10081
2000-05-31,51.11386
2000-06-30,48.66319
2000-07-31,50.41367
2000-08-31,50.23862
2000-09-30,49.01329
2000-10-31,49.97605
2000-11-30,50.85129
2000-12-31,70.10651
2001-01-31,47.43786
2001-02-28,44.72463
2001-03-31,50.32614
2001-04-30,48.13805
2001-05-31,49.97605
2001-06-30,48.05053
2001-07-31,48.3131
2001-08-31,49.62596
2001-09-30,47.61291
2001-10-31,50.58872
2001-11-30,49.62596
2001-12-31,68.18099
2002-01-31,46.91272
2002-02-28,44.02444
2002-03-31,50.50119
2002-04-30,47.17529
2002-05-31,50.58872
2002-06-30,47.17529
2002-07-31,49.18834
2002-08-31,50.76376
2002-09-30,46.91272
2002-10-31,50.85129
2002-11-30,49.62596
2002-12-31,64.68004
2003-01-31,44.81215
2003-02-28,43.32425
2003-03-31,44.72463
2003-04-30,45.42482
2003-05-31,47.43786
2003-06-30,44.46205
2003-07-31,47.00024
2003-08-31,47.87548
2003-09-30,45.59986
2003-10-31,49.36338
2003-11-30,49.53843
2003-12-31,66.78061
2004-01-31,47.52539
2004-02-29,45.51234
2004-03-31,49.62596
2004-04-30,50.06357
2004-05-31,52.51424
2004-06-30,50.23862
2004-07-31,52.68929
2004-08-31,51.11386
2004-09-30,49.801
2004-10-31,53.477
2004-11-30,52.60176
2004-12-31,74.39517
2005-01-31,50.50119
2005-02-28,46.4751
2005-03-31,53.477
2005-04-30,51.72652
2005-05-31,53.91462
2005-06-30,52.86433
2005-07-31,55.05243
2005-08-31,54.61481
2005-09-30,52.51424
2005-10-31,55.49004
2005-11-30,55.22747
2005-12-31,78.07117
2006-01-31,53.82709
2006-02-28,49.36338
2006-03-31,55.05243
2006-04-30,55.57757
2006-05-31,57.94071
2006-06-30,54.9649
2006-07-31,56.27776
2006-08-31,58.11576
2006-09-30,57.76566
2006-10-31,59.34109
2006-11-30,60.21633
2006-12-31,82.53488
2007-01-31,58.37833
2007-02-28,53.82709
2007-03-31,61.44166
2007-04-30,59.86623
2007-05-31,64.06737
2007-06-30,61.26661
2007-07-31,61.52918
2007-08-31,64.06737
2007-09-30,62.49194
2007-10-31,65.03013
2007-11-30,66.43051
2007-12-31,90.32449
2008-01-31,65.20518
2008-02-29,60.74147
2008-03-31,68.26851
2008-04-30,65.03013
2008-05-31,71.15679
2008-06-30,66.25546
2008-07-31,68.44356
2008-08-31,70.36908
2008-09-30,68.35603
2008-10-31,71.50689
2008-11-30,69.84394
2008-12-31,93.73792
2009-01-31,69.14375
2009-02-28,63.01709
2009-03-31,69.14375
2009-04-30,69.66889
2009-05-31,73.16984
2009-06-30,70.01898
2009-07-31,72.55717
2009-08-31,73.69498
2009-09-30,71.85698
2009-10-31,77.63355
2009-11-30,75.79555
2009-12-31,102.40276
2010-01-31,76.32069
2010-02-28,70.71917
2010-03-31,79.99669
2010-04-30,76.05812
2010-05-31,80.69688
2010-06-30,77.98364
2010-07-31,80.60936
2010-08-31,81.48459
2010-09-30,80.43431
2010-10-31,84.37288
2010-11-30,83.32259
2010-12-31,112.90561
2011-01-31,82.6224
2011-02-28,76.75831
2011-03-31,83.14754
2011-04-30,83.84773
2011-05-31,85.77326
2011-06-30,83.49764
2011-07-31,86.2984
2011-08-31,86.64849
2011-09-30,84.54792
2011-10-31,87.96135
2011-11-30,88.92411
2011-12-31,120.43265
2012-01-31,89.01163
2012-02-29,84.89802
2012-03-31,93.56287
2012-04-30,88.83659
2012-05-31,92.77515
2012-06-30,91.28725
2012-07-31,92.51258
2012-08-31,95.31334
2012-09-30,91.81239
2012-10-31,96.01353
2012-11-30,96.36363
2012-12-31,126.55931
2013-01-31,94.35058
2013-02-28,84.63545
2013-03-31,97.76401
2013-04-30,90.32449
2013-05-31,96.88877
2013-06-30,92.77515
2013-07-31,98.1141
2013-08-31,101.17743
2013-09-30,95.66344
2013-10-31,101.17743
2013-11-30,103.19048
2013-12-31,131.46064
2014-01-31,100.38972
2014-02-28,91.98744
2014-03-31,96.71372
2014-04-30,96.36363
2014-05-31,101.35248
2014-06-30,93.65039
2014-07-31,97.23886
2014-08-31,100.21467
2014-09-30,96.18858
2014-10-31,103.36553
2014-11-30,104.67838
2014-12-31,131.81074
2015-01-31,100.91486
2015-02-28,88.92411
2015-03-31,96.97629
2015-04-30,93.21277
2015-05-31,96.80125
2015-06-30,91.1122
2015-07-31,93.47534
2015-08-31,93.3003
2015-09-30,90.14944
2015-10-31,97.50144
2015-11-30,96.53867
2015-12-31,122.27065
2016-01-31,90.23697
2016-02-29,85.16059
2016-03-31,91.4623
2016-04-30,86.82354
2016-05-31,88.1364
2016-06-30,86.73602
2016-07-31,88.22392
2016-08-31,88.1364
2016-09-30,84.98554
2016-10-31,89.6243
2016-11-30,92.86268
2016-12-31,116.31904
2017-01-31,89.14016
2017-02-28,82.01325
2017-03-31,88.51857
2017-04-30,88.30573
2017-05-31,90.42847
2017-06-30,89.23752
2017-07-31,90.94292
2017-08-31,91.27847
2017-09-30,90.28732
2017-10-31,91.94171
2017-11-30,98.43241
2017-12-31,120.9274
2018-01-31,91.95579
2018-02-28,83.25285
2018-03-31,95.63502
2018-04-30,88.94832
2018-05-31,92.90176
2018-06-30,90.65535
2018-07-31,90.06749
2018-08-31,94.99743
2018-09-30,90.44022
2018-10-31,93.73739
2018-11-30,102.87858
2018-12-31,121.74368
2019-01-31,93.68782
2019-02-28,86.56867
2019-03-31,91.38843
2019-04-30,90.53404
2019-05-31,93.82238
2019-06-30,90.76676
2019-07-31,93.90554
2019-08-31,96.31029
2019-09-30,92.44497
2019-10-31,97.72331
2019-11-30,106.07645
2019-12-31,124.92782
2020-01-31,95.01804
2020-02-29,90.61413
2020-03-31,90.34239
2020-04-30,75.01668
2020-05-31,86.8962
2020-06-30,91.20908
2020-07-31,99.06405
2020-08-31,102.25301
2020-09-30,99.17828
2020-10-31,105.8898
2020-11-30,109.85013
2020-12-31,126.51201
2021-01-31,94.63845
2021-02-28,87.09135
2021-03-31,92.35696
2021-04-30,92.81474
2021-05-31,100.74772
2021-06-30,96.99321
2021-07-31,104.75813
2021-08-31,98.09983
2021-09-30,94.04461
2021-10-31,98.65443
2021-11-30,105.23216
2021-12-31,122.78603
2022-01-31,93.22962
2022-02-28,88.20452
2022-03-31,96.92398
2022-04-30,96.98576
2022-05-31,100.59259
2022-06-30,96.86423
2022-07-31,99.1827
2022-08-31,99.6294
2022-09-30,97.0433
2022-10-31,101.35957
2022-11-30,106.66694
2022-12-31,123.31739
2023-01-31,95.76611
2023-02-28,89.14835
2023-03-31,100.14438
2023-04-30,97.44855
2023-05-31,99.50874
2023-06-30,98.21743
2023-07-31,101.60083
2023-08-31,102.06213
2023-09-30,100.14664
2023-10-31,101.56221
2023-11-30,109.32953
2023-12-31,124.85513
2024-01-31,99.66145
