"date","value"
2000-02-29,50.65893
2000-03-31,51.00315
2000-04-30,50.9339
2000-05-31,51.28393
2000-06-30,51.13285
2000-07-31,51.31859
2000-08-31,50.77998
2000-09-30,50.96024
2000-10-31,50.20673
2000-11-30,51.04426
2000-12-31,51.31563
2001-01-31,51.12948
2001-02-28,50.96593
2001-03-31,50.74639
2001-04-30,50.52848
2001-05-31,50.00325
2001-06-30,49.98034
2001-07-31,49.71603
2001-08-31,49.90638
2001-09-30,50.07823
2001-10-31,50.29364
2001-11-30,49.70324
2001-12-31,50.18778
2002-01-31,50.33092
2002-02-28,50.26691
2002-03-31,50.42055
2002-04-30,50.26577
2002-05-31,50.43509
2002-06-30,49.47974
2002-07-31,50.08287
2002-08-31,50.58061
2002-09-30,49.97561
2002-10-31,50.4191
2002-11-30,49.25274
2002-12-31,48.19757
2003-01-31,47.72124
2003-02-28,48.43669
2003-03-31,47.08861
2003-04-30,47.1625
2003-05-31,46.78224
2003-06-30,47.14727
2003-07-31,47.72341
2003-08-31,48.14315
2003-09-30,48.26886
2003-10-31,48.79593
2003-11-30,49.71445
2003-12-31,49.31752
2004-01-31,49.97304
2004-02-29,50.83661
2004-03-31,51.25652
2004-04-30,51.74164
2004-05-31,52.39108
2004-06-30,52.69192
2004-07-31,52.871
2004-08-31,52.25252
2004-09-30,52.38685
2004-10-31,53.0525
2004-11-30,53.07882
2004-12-31,54.61245
2005-01-31,53.56064
2005-02-28,53.35439
2005-03-31,53.94392
2005-04-30,54.13562
2005-05-31,54.36917
2005-06-30,55.1749
2005-07-31,55.87306
2005-08-31,55.36148
2005-09-30,55.0685
2005-10-31,55.43686
2005-11-30,55.6067
2005-12-31,56.93973
2006-01-31,57.41996
2006-02-28,56.65411
2006-03-31,56.50901
2006-04-30,57.53146
2006-05-31,57.63947
2006-06-30,57.42579
2006-07-31,57.5283
2006-08-31,58.79391
2006-09-30,59.90171
2006-10-31,60.06998
2006-11-30,60.56877
2006-12-31,60.94555
2007-01-31,61.3076
2007-02-28,61.67151
2007-03-31,62.43549
2007-04-30,62.74552
2007-05-31,63.54941
2007-06-30,63.45434
2007-07-31,63.84309
2007-08-31,64.52364
2007-09-30,65.32371
2007-10-31,65.20483
2007-11-30,66.79584
2007-12-31,67.32909
2008-01-31,67.95797
2008-02-29,66.89836
2008-03-31,68.58471
2008-04-30,69.06553
2008-05-31,69.96646
2008-06-30,70.02759
2008-07-31,70.25376
2008-08-31,70.87037
2008-09-30,71.69815
2008-10-31,71.23207
2008-11-30,70.35705
2008-12-31,70.39359
2009-01-31,70.79436
2009-02-28,71.85514
2009-03-31,71.55788
2009-04-30,72.33082
2009-05-31,72.66908
2009-06-30,73.67196
2009-07-31,74.17536
2009-08-31,74.50799
2009-09-30,75.06916
2009-10-31,76.63937
2009-11-30,77.22402
2009-12-31,77.09727
2010-01-31,78.49158
2010-02-28,80.47361
2010-03-31,81.67538
2010-04-30,79.02859
2010-05-31,80.86653
2010-06-30,81.81511
2010-07-31,81.55205
2010-08-31,83.30152
2010-09-30,83.89797
2010-10-31,84.06307
2010-11-30,84.17802
2010-12-31,84.97274
2011-01-31,84.90858
2011-02-28,85.15275
2011-03-31,86.45595
2011-04-30,86.48931
2011-05-31,87.33706
2011-06-30,87.60168
2011-07-31,88.02957
2011-08-31,87.70189
2011-09-30,88.13
2011-10-31,87.94526
2011-11-30,89.17753
2011-12-31,90.15035
2012-01-31,92.13106
2012-02-29,92.8633
2012-03-31,93.71282
2012-04-30,93.94257
2012-05-31,93.60104
2012-06-30,95.09238
2012-07-31,95.83978
2012-08-31,95.90367
2012-09-30,95.99575
2012-10-31,96.05265
2012-11-30,95.6164
2012-12-31,96.30085
2013-01-31,96.13507
2013-02-28,95.78078
2013-03-31,96.73641
2013-04-30,97.13412
2013-05-31,97.67887
2013-06-30,97.87768
2013-07-31,100.72794
2013-08-31,101.08074
2013-09-30,101.33232
2013-10-31,100.71877
2013-11-30,100.59668
2013-12-31,101.54864
2014-01-31,101.70065
2014-02-28,101.44114
2014-03-31,100.84911
2014-04-30,101.0959
2014-05-31,101.44718
2014-06-30,100.07935
2014-07-31,99.61444
2014-08-31,101.26086
2014-09-30,101.32184
2014-10-31,102.34048
2014-11-30,102.19525
2014-12-31,101.25615
2015-01-31,101.32936
2015-02-28,100.1296
2015-03-31,100.25105
2015-04-30,97.51055
2015-05-31,97.93096
2015-06-30,96.63015
2015-07-31,95.47319
2015-08-31,94.76276
2015-09-30,94.72067
2015-10-31,95.74168
2015-11-30,94.43669
2015-12-31,94.13974
2016-01-31,91.46785
2016-02-29,92.69944
2016-03-31,91.566
2016-04-30,91.89105
2016-05-31,90.91602
2016-06-30,91.09203
2016-07-31,90.17345
2016-08-31,89.70304
2016-09-30,88.91809
2016-10-31,89.37998
2016-11-30,89.10978
2016-12-31,88.80567
2017-01-31,91.99075
2017-02-28,92.25182
2017-03-31,90.3968
2017-04-30,92.53688
2017-05-31,92.31641
2017-06-30,93.58284
2017-07-31,93.18384
2017-08-31,92.4429
2017-09-30,93.51189
2017-10-31,92.94465
2017-11-30,93.5258
2017-12-31,93.57829
2018-01-31,94.3073
2018-02-28,93.77187
2018-03-31,94.87721
2018-04-30,96.66148
2018-05-31,94.73352
